| case | noc | major | source | receiver | rect | raw route | hops | x | y | wraps | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| rect | 0 | x | `1,2` | `2,11` | `2,3->14,11` | `1,2->2,11` | 10 | 1 | 9 | 0 | 64 | 16 | min=461 avg=465.688 med=464.500 max=481 | min=436 avg=440.688 med=439.500 max=456 | 16 | 9400 |
| rect | 0 | x | `1,2` | `14,11` | `2,3->14,11` | `1,2->16,11` | 24 | 15 | 9 | 0 | 64 | 16 | min=588 avg=593.125 med=593.000 max=604 | min=563 avg=568.125 med=568.000 max=579 | 16 | 9364 |
| rect | 0 | x | `1,2` | `2,3` | `2,3->14,11` | `1,2->2,3` | 2 | 1 | 1 | 0 | 1024 | 16 | min=404 avg=409.688 med=410.000 max=414 | min=26 avg=31.688 med=32.000 max=36 | 16 | 9931 |
| rect | 0 | x | `1,2` | `14,3` | `2,3->14,11` | `1,2->16,3` | 16 | 15 | 1 | 0 | 1024 | 16 | min=530 avg=533.875 med=534.000 max=539 | min=152 avg=155.875 med=156.000 max=161 | 16 | 9869 |
| rect | 0 | x | `1,2` | `2,11` | `2,3->14,11` | `1,2->2,11` | 10 | 1 | 9 | 0 | 1024 | 16 | min=476 avg=481.312 med=481.000 max=486 | min=98 avg=103.312 med=103.000 max=108 | 16 | 9826 |
| rect | 0 | x | `1,2` | `14,11` | `2,3->14,11` | `1,2->16,11` | 24 | 15 | 9 | 0 | 1024 | 16 | min=602 avg=606.938 med=607.500 max=612 | min=224 avg=228.938 med=229.500 max=234 | 16 | 9817 |
| rect | 0 | x | `1,2` | `2,3` | `2,3->14,11` | `1,2->2,3` | 2 | 1 | 1 | 0 | 16384 | 16 | min=650 avg=655.875 med=655.500 max=665 | min=29 avg=35.375 med=35.000 max=42 | 16 | 10292 |
| rect | 0 | x | `1,2` | `14,3` | `2,3->14,11` | `1,2->16,3` | 16 | 15 | 1 | 0 | 16384 | 16 | min=777 avg=781.250 med=780.500 max=789 | min=151 avg=160.750 med=161.000 max=169 | 16 | 10263 |
| rect | 0 | x | `1,2` | `2,11` | `2,3->14,11` | `1,2->2,11` | 10 | 1 | 9 | 0 | 16384 | 16 | min=724 avg=728.938 med=729.000 max=734 | min=101 avg=108.438 med=109.000 max=115 | 16 | 10204 |
| rect | 0 | x | `1,2` | `14,11` | `2,3->14,11` | `1,2->16,11` | 24 | 15 | 9 | 0 | 16384 | 16 | min=849 avg=853.625 med=853.000 max=859 | min=227 avg=233.125 med=233.000 max=240 | 16 | 10139 |
| rect | 0 | y | `1,2` | `2,3` | `2,3->14,11` | `1,2->2,3` | 2 | 1 | 1 | 0 | 64 | 16 | min=389 avg=391.750 med=391.000 max=398 | min=364 avg=366.750 med=366.000 max=373 | 16 | 9469 |
| rect | 0 | y | `1,2` | `14,3` | `2,3->14,11` | `1,2->16,3` | 16 | 15 | 1 | 0 | 64 | 16 | min=516 avg=517.938 med=518.000 max=520 | min=491 avg=492.938 med=493.000 max=495 | 16 | 9446 |
| rect | 0 | y | `1,2` | `2,11` | `2,3->14,11` | `1,2->2,11` | 10 | 1 | 9 | 0 | 64 | 16 | min=461 avg=466.188 med=466.000 max=471 | min=436 avg=441.188 med=441.000 max=446 | 16 | 9403 |
| rect | 0 | y | `1,2` | `14,11` | `2,3->14,11` | `1,2->16,11` | 24 | 15 | 9 | 0 | 64 | 16 | min=587 avg=590.375 med=590.000 max=593 | min=562 avg=565.375 med=565.000 max=568 | 16 | 9369 |
| rect | 0 | y | `1,2` | `2,3` | `2,3->14,11` | `1,2->2,3` | 2 | 1 | 1 | 0 | 1024 | 16 | min=404 avg=409.500 med=410.000 max=414 | min=26 avg=31.500 med=32.000 max=36 | 16 | 9896 |
| rect | 0 | y | `1,2` | `14,3` | `2,3->14,11` | `1,2->16,3` | 16 | 15 | 1 | 0 | 1024 | 16 | min=530 avg=534.438 med=534.000 max=539 | min=152 avg=156.438 med=156.000 max=161 | 16 | 9927 |
| rect | 0 | y | `1,2` | `2,11` | `2,3->14,11` | `1,2->2,11` | 10 | 1 | 9 | 0 | 1024 | 16 | min=476 avg=481.375 med=481.500 max=487 | min=98 avg=103.375 med=103.500 max=109 | 16 | 9820 |
| rect | 0 | y | `1,2` | `14,11` | `2,3->14,11` | `1,2->16,11` | 24 | 15 | 9 | 0 | 1024 | 16 | min=602 avg=607.250 med=608.000 max=612 | min=224 avg=229.250 med=230.000 max=234 | 16 | 9796 |
| rect | 0 | y | `1,2` | `2,3` | `2,3->14,11` | `1,2->2,3` | 2 | 1 | 1 | 0 | 16384 | 16 | min=649 avg=655.812 med=655.000 max=664 | min=31 avg=36.312 med=36.000 max=42 | 16 | 10301 |
