| case | group | noc | major | source | receiver | rect | raw route | hops | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| disjoint | a | 1 | y | `1,2` | `3,3` | `4,5->2,3` | `15,9->13,8` | 26 | 16384 | 4 | min=910 avg=910.500 med=910.500 max=911 | min=252 avg=252.500 med=252.500 max=253 | 4 | 2935 |
| disjoint | a | 1 | y | `1,2` | `4,3` | `4,5->2,3` | `15,9->12,8` | 25 | 16384 | 4 | min=899 avg=902.750 med=902.000 max=908 | min=241 avg=244.750 med=244.000 max=250 | 4 | 2905 |
| disjoint | a | 1 | y | `1,2` | `2,4` | `4,5->2,3` | `15,9->14,7` | 26 | 16384 | 4 | min=913 avg=915.250 med=915.500 max=917 | min=255 avg=257.250 med=257.500 max=259 | 4 | 2934 |
| disjoint | a | 1 | y | `1,2` | `3,4` | `4,5->2,3` | `15,9->13,7` | 25 | 16384 | 4 | min=901 avg=903.250 med=902.000 max=908 | min=243 avg=245.250 med=244.000 max=250 | 4 | 2920 |
| disjoint | a | 1 | y | `1,2` | `4,4` | `4,5->2,3` | `15,9->12,7` | 24 | 16384 | 4 | min=882 avg=888.500 med=890.000 max=892 | min=224 avg=230.500 med=232.000 max=234 | 4 | 2911 |
| disjoint | a | 1 | y | `1,2` | `2,5` | `4,5->2,3` | `15,9->14,6` | 25 | 16384 | 4 | min=902 avg=906.500 med=906.500 max=911 | min=244 avg=248.500 med=248.500 max=253 | 4 | 2930 |
| disjoint | a | 1 | y | `1,2` | `3,5` | `4,5->2,3` | `15,9->13,6` | 24 | 16384 | 4 | min=888 avg=895.250 med=897.000 max=899 | min=230 avg=237.250 med=239.000 max=241 | 4 | 2925 |
| disjoint | a | 1 | y | `1,2` | `4,5` | `4,5->2,3` | `15,9->12,6` | 23 | 16384 | 4 | min=876 avg=876.750 med=876.500 max=878 | min=218 avg=218.750 med=218.500 max=220 | 4 | 2937 |
| disjoint | b | 1 | y | `10,2` | `11,3` | `13,5->11,3` | `5,9->4,8` | 27 | 16384 | 4 | min=925 avg=1006.250 med=928.000 max=1244 | min=266 avg=268.250 med=268.000 max=271 | 4 | 2921 |
| disjoint | b | 1 | y | `10,2` | `12,3` | `13,5->11,3` | `5,9->3,8` | 26 | 16384 | 4 | min=920 avg=1002.250 med=923.000 max=1243 | min=262 avg=264.250 med=265.000 max=265 | 4 | 2945 |
| disjoint | b | 1 | y | `10,2` | `13,3` | `13,5->11,3` | `5,9->2,8` | 25 | 16384 | 4 | min=912 avg=992.750 med=913.000 max=1233 | min=254 avg=254.750 med=254.500 max=256 | 4 | 2946 |
| disjoint | b | 1 | y | `10,2` | `11,4` | `13,5->11,3` | `5,9->4,7` | 26 | 16384 | 4 | min=917 avg=998.500 med=920.500 max=1236 | min=258 avg=260.500 med=260.000 max=264 | 4 | 2939 |
| disjoint | b | 1 | y | `10,2` | `12,4` | `13,5->11,3` | `5,9->3,7` | 25 | 16384 | 4 | min=914 avg=993.750 med=915.000 max=1231 | min=253 avg=255.750 med=256.500 max=257 | 4 | 2934 |
| disjoint | b | 1 | y | `10,2` | `13,4` | `13,5->11,3` | `5,9->2,7` | 24 | 16384 | 4 | min=901 avg=983.500 med=906.500 max=1220 | min=242 avg=245.500 med=244.000 max=252 | 4 | 2938 |
| disjoint | b | 1 | y | `10,2` | `11,5` | `13,5->11,3` | `5,9->4,6` | 25 | 16384 | 4 | min=902 avg=982.500 med=903.000 max=1222 | min=244 avg=244.500 med=244.500 max=245 | 4 | 2951 |
| disjoint | b | 1 | y | `10,2` | `12,5` | `13,5->11,3` | `5,9->3,6` | 24 | 16384 | 4 | min=897 avg=977.750 med=898.000 max=1218 | min=239 avg=239.750 med=239.500 max=241 | 4 | 2944 |
| disjoint | b | 1 | y | `10,2` | `13,5` | `13,5->11,3` | `5,9->2,6` | 23 | 16384 | 4 | min=901 avg=979.750 med=901.500 max=1215 | min=237 avg=241.750 med=243.000 max=244 | 4 | 2938 |
| shared_columns | a | 0 | x | `1,2` | `2,3` | `2,3->4,5` | `1,2->2,3` | 2 | 16384 | 4 | min=409 avg=410.000 med=410.000 max=411 | min=39 avg=40.000 med=40.000 max=41 | 4 | 2859 |
| shared_columns | a | 0 | x | `1,2` | `3,3` | `2,3->4,5` | `1,2->3,3` | 3 | 16384 | 4 | min=406 avg=406.750 med=406.500 max=408 | min=36 avg=36.750 med=36.500 max=38 | 4 | 2844 |
| shared_columns | a | 0 | x | `1,2` | `4,3` | `2,3->4,5` | `1,2->4,3` | 4 | 16384 | 4 | min=415 avg=416.250 med=416.500 max=417 | min=45 avg=46.250 med=46.500 max=47 | 4 | 2870 |
| shared_columns | a | 0 | x | `1,2` | `2,4` | `2,3->4,5` | `1,2->2,4` | 3 | 16384 | 4 | min=412 avg=413.000 med=413.000 max=414 | min=42 avg=43.000 med=43.000 max=44 | 4 | 2864 |
| shared_columns | a | 0 | x | `1,2` | `3,4` | `2,3->4,5` | `1,2->3,4` | 4 | 16384 | 4 | min=414 avg=419.750 med=420.000 max=425 | min=44 avg=49.750 med=50.000 max=55 | 4 | 2875 |
| shared_columns | a | 0 | x | `1,2` | `4,4` | `2,3->4,5` | `1,2->4,4` | 5 | 16384 | 4 | min=424 avg=425.250 med=425.500 max=426 | min=54 avg=55.250 med=55.500 max=56 | 4 | 2870 |
| shared_columns | a | 0 | x | `1,2` | `2,5` | `2,3->4,5` | `1,2->2,5` | 4 | 16384 | 4 | min=421 avg=422.250 med=422.000 max=424 | min=51 avg=52.250 med=52.000 max=54 | 4 | 2871 |
| shared_columns | a | 0 | x | `1,2` | `3,5` | `2,3->4,5` | `1,2->3,5` | 5 | 16384 | 4 | min=428 avg=431.750 med=432.500 max=434 | min=58 avg=61.750 med=62.500 max=64 | 4 | 2870 |
