| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| 0 | y | 1 | 2 | `1,2` | `4,3` | `2,3->4,5` | 64 | 8 | min=191 avg=195.750 med=194.500 max=201 | min=87 avg=92.250 med=90.500 max=100 | 16 | 8871 |
| 0 | y | 1 | 2 | `1,2` | `2,4` | `2,3->4,5` | 64 | 8 | min=188 avg=192.500 med=192.500 max=197 | min=84 avg=89.000 med=90.000 max=93 | 16 | 8918 |
| 0 | y | 1 | 2 | `1,2` | `3,4` | `2,3->4,5` | 64 | 8 | min=193 avg=196.250 med=196.000 max=200 | min=89 avg=92.750 med=92.000 max=99 | 16 | 8834 |
| 0 | y | 1 | 2 | `1,2` | `4,4` | `2,3->4,5` | 64 | 8 | min=195 avg=198.750 med=198.500 max=205 | min=91 avg=95.250 med=95.500 max=101 | 16 | 8915 |
| 0 | y | 1 | 2 | `1,2` | `2,5` | `2,3->4,5` | 64 | 8 | min=196 avg=199.375 med=198.500 max=206 | min=92 avg=95.875 med=95.500 max=102 | 16 | 8890 |
| 0 | y | 1 | 2 | `1,2` | `3,5` | `2,3->4,5` | 64 | 8 | min=201 avg=205.500 med=204.500 max=211 | min=97 avg=102.000 med=100.500 max=109 | 16 | 8898 |
| 0 | y | 1 | 2 | `1,2` | `4,5` | `2,3->4,5` | 64 | 8 | min=204 avg=208.750 med=208.500 max=213 | min=100 avg=105.250 med=104.500 max=113 | 16 | 8876 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | y | 1 | 4 | `1,2` | `2,3` | `2,3->4,5` | 64 | 8 | min=261 avg=267.375 med=266.500 max=282 | min=23 avg=27.250 med=27.500 max=30 | 32 | 9006 |
| 0 | y | 1 | 4 | `1,2` | `3,3` | `2,3->4,5` | 64 | 8 | min=266 avg=272.375 med=272.500 max=285 | min=28 avg=32.250 med=32.500 max=36 | 32 | 8930 |
| 0 | y | 1 | 4 | `1,2` | `4,3` | `2,3->4,5` | 64 | 8 | min=274 avg=278.250 med=278.000 max=290 | min=35 avg=38.125 med=38.000 max=41 | 32 | 8971 |
| 0 | y | 1 | 4 | `1,2` | `2,4` | `2,3->4,5` | 64 | 8 | min=270 avg=274.875 med=274.500 max=286 | min=31 avg=34.750 med=36.000 max=37 | 32 | 8998 |
| 0 | y | 1 | 4 | `1,2` | `3,4` | `2,3->4,5` | 64 | 8 | min=274 avg=280.500 med=279.500 max=298 | min=36 avg=40.375 med=41.500 max=46 | 32 | 8915 |
| 0 | y | 1 | 4 | `1,2` | `4,4` | `2,3->4,5` | 64 | 8 | min=278 avg=284.875 med=284.000 max=296 | min=40 avg=44.750 med=44.500 max=49 | 32 | 9011 |
| 0 | y | 1 | 4 | `1,2` | `2,5` | `2,3->4,5` | 64 | 8 | min=279 avg=283.625 med=284.000 max=295 | min=40 avg=43.500 med=43.500 max=47 | 32 | 8943 |
| 0 | y | 1 | 4 | `1,2` | `3,5` | `2,3->4,5` | 64 | 8 | min=284 avg=290.750 med=289.000 max=308 | min=46 avg=50.625 med=51.000 max=54 | 32 | 8957 |
| 0 | y | 1 | 4 | `1,2` | `4,5` | `2,3->4,5` | 64 | 8 | min=287 avg=293.000 med=292.500 max=304 | min=49 avg=52.875 med=52.500 max=59 | 32 | 9013 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | y | 1 | 1 | `1,2` | `2,3` | `2,3->4,5` | 1024 | 8 | min=190 avg=193.500 med=194.000 max=199 | min=29 avg=32.500 med=33.000 max=38 | 8 | 8935 |
