| case | repeat | noc | major | path reserve | stream | rect | dests | packet B | iters | chunks | source payload B/cyc | delivered payload B/cyc | seen-issue cyc | bad counter | stale data | max polls |
| nested | 0 | 0 | y | both | b | `3,4->4,5` | 4 | 16384 | 16 | 4 | 15.560 | 61.952 | min=2362 avg=5971.3 med=2386.5 max=26270 | 0 | 0 | 4075 |
| nested | 0 | 1 | x | both | all | - | - | 16384 | 16 | 1 | - | 132.984 | - | - | - | - |
| nested | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 14.691 | 108.574 | min=1345 avg=6879.0 med=1727.0 max=25822 | 0 | 0 | 2286 |
| nested | 0 | 1 | x | both | b | `4,5->3,4` | 4 | 16384 | 16 | 1 | 6.822 | 26.986 | min=1227 avg=2793.9 med=1249.0 max=25990 | 0 | 0 | 2286 |
| nested | 0 | 1 | x | both | all | - | - | 16384 | 16 | 4 | - | 174.691 | - | - | - | - |
| nested | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 20.096 | 142.655 | min=3454 avg=20298.3 med=3821.0 max=79460 | 0 | 0 | 7278 |
| nested | 0 | 1 | x | both | b | `4,5->3,4` | 4 | 16384 | 16 | 4 | 8.810 | 35.112 | min=2874 avg=7821.1 med=2896.5 max=81727 | 0 | 0 | 7278 |
| nested | 0 | 1 | y | both | all | - | - | 16384 | 16 | 1 | - | 121.554 | - | - | - | - |
| nested | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 14.426 | 99.069 | min=1354 avg=7757.2 med=1733.5 max=29508 | 0 | 0 | 2517 |
| nested | 0 | 1 | y | both | b | `4,5->3,4` | 4 | 16384 | 16 | 1 | 6.222 | 24.636 | min=1226 avg=3026.7 med=1250.0 max=29673 | 0 | 0 | 2517 |
| nested | 0 | 1 | y | both | all | - | - | 16384 | 16 | 4 | - | 221.342 | - | - | - | - |
| nested | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.901 | 181.792 | min=3447 avg=14355.3 med=3836.5 max=54168 | 0 | 0 | 5696 |
| nested | 0 | 1 | y | both | b | `4,5->3,4` | 4 | 16384 | 16 | 4 | 11.186 | 44.535 | min=2875 avg=6242.0 med=2896.5 max=56460 | 0 | 0 | 5696 |
